date,SPY,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2000-02-29,-0.015225951922205105,-0.10046880664881641,,-0.04233361955349102,-0.10704633244972128,-0.055171984509678196,0.10506789731489863,-0.11701410609836516,,-0.12153783112326766,-0.06538661564940584,-0.05571474640826135
2000-03-31,0.0941334889460812,0.09828745872289213,,0.12066868577796819,0.17830099591561033,0.13686147538798332,0.0838924946068671,0.03427292450551089,,0.10103006122592473,0.08994996238740338,0.13929451718523
2000-04-30,-0.032667869406052485,-0.030926693251730697,,-0.01162547851697604,0.013363514406260935,0.016538513571401348,-0.09184683867201815,0.05639956609627661,,0.07340034923110528,-0.011716686249779285,-0.018912245883229928
2000-05-31,-0.015722438186823506,-0.03155638989205123,,0.11742495175705847,0.02232114182037681,-0.004219131109165941,-0.10397753640728846,0.07132861612653207,,-0.0021942112804205216,-0.026804163708674666,-0.0539801393014433
2000-06-30,0.017286448767060314,-0.08979001722042856,,-0.05956451130138973,-0.05177762568914235,-0.04131386156342187,0.09955623840795069,0.05417734237628746,,-0.041231062355677306,0.0021186473163290476,-0.05590780924405958
2000-07-31,-0.013385180214493753,0.013492034486479287,,-0.03345344978954201,0.09191800318381049,0.017568950297616626,-0.05305671127990219,-0.034307189563249074,,0.023174760563224428,-0.014799559494114378,0.017816454739204346
2000-08-31,0.06534103873898278,0.0228712044921775,,0.10920834659288192,0.10157141195680497,0.09902123431375265,0.10170483972032973,-0.012210814910941892,,0.03896157250895538,0.03540827938749258,-0.041466202596869284
2000-09-30,-0.057230446549015324,-0.10331562397332639,,0.012065904933541871,0.018661274360426194,-0.031683506446597565,-0.1796569110422752,0.040338817885497535,,0.12282640055886795,-0.03626929356118047,-0.0012539930673554078
2000-10-31,-0.00217738231811071,0.0941120657036949,,-0.02297610796302918,-0.005624816483981276,0.025284149262083222,-0.05727780345418909,0.07348581578271673,,0.06686261604301347,0.015053490654419743,-0.010104137763712218
2000-11-30,-0.07465297058829234,-0.025296137317023737,,-0.05245106120241705,-0.05108694577387363,-0.03399985992842425,-0.20514665824909706,0.034503130008689986,,-0.0004576550861862261,-0.09110154710703255,-0.02479383951246239
2000-12-31,-0.00826834300240975,0.11192189059848956,,0.09881007819564358,0.0813296521312572,0.03519653726541394,-0.09892038452712693,0.03335179231265095,,-0.027916967356929168,0.016316722370894432,0.06779677129037087
2001-01-31,0.04766273916230057,-0.0013400561126294397,,-0.028969905678402297,0.0013157970294470633,0.008018420573032037,0.1912169964696968,-0.07019776271363398,,-0.042416067879689434,0.07248695725065657,0.11908333172453611
2001-02-28,-0.09538778210585652,0.01294938778639887,,-0.012138772550982724,-0.06727751217366817,-0.05992929488833654,-0.24906134351535736,0.006042660680325662,,0.02075360613379451,-0.019164174432438563,-0.0714033841195888
2001-03-31,-0.058571882889975724,-0.054450446457139035,,-0.032766679929772446,-0.03315194584128223,-0.09833878659514339,-0.11460197463422639,-0.0720716893407114,,-0.021269944730068602,-0.06420133842699327,-0.016585017635382227
2001-04-30,0.0883627237547564,0.1117750369744348,,0.10660418850429965,0.03960046266557238,0.11750349385597625,0.16169347799776523,0.02239944437790098,,0.055685413997310196,0.07402132898513636,0.04850840935759071
2001-05-31,-0.0056053435053103895,0.03846185824152992,,-0.00944790080967195,0.044000462085147296,0.04184948809661915,-0.04095808274553181,0.014682948996803669,,0.007012012395506861,0.03819498856300263,0.023810077257775175
2001-06-30,-0.026597965810078783,-0.038780213929432095,,-0.09538009461509567,-0.01079774678324763,-0.0638160346906056,0.019544060363980265,-0.049277044014894966,,-0.05691796278167016,-0.011706477777181257,-0.010018221745808131
2001-07-31,-0.007380686350256682,0.0017075921849527553,,-0.006889597238744605,-0.005861129068001625,8.600512727663379e-05,-0.0692228370013076,0.03371815405685341,,-0.0019031083739027288,-0.019559720049982632,0.04671369210144927
2001-08-31,-0.05933255808937399,-0.004091502355713428,,-0.042333704027576524,-0.06612175004744258,-0.03432784308446857,-0.12204437719629502,0.004790132482607401,,-0.035633536987830006,-0.0507600874100278,-0.08754299710843316
2001-09-30,-0.08506326813136045,-0.12368723754628463,,-0.10128709384182333,-0.06052506950898795,-0.15009023250721387,-0.16376973514187787,-0.004370794530824562,,-0.017131040118389174,-0.14514323294653197,-0.12893412646314195
2001-10-31,0.0168229024098403,0.033228652492502064,,0.04612922569247235,-0.009795391843774537,0.022020875049242772,0.10909050600175241,-0.003225856148075912,,-0.045332301416084575,0.005519674097794747,0.05584174235394124
2001-11-30,0.07797671962816777,0.1267748047827948,,-0.05584472039641819,0.06494002815017264,0.10004125097114369,0.14941417047973404,0.04417692238411597,,-0.012626030518710585,0.11600286838752782,0.1331671237656964
