regime,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY,SPY
Deflationary Bust,3.3960958811421014,1.2491282668234456,1.369981143195014,2.2771125780769546,3.3289920906790345,1.5341489001878679,1.214799064099251,1.7488528608782978,3.510610684827262,2.22871766686971
Goldilocks,0.43277307177454416,0.2406818593243555,0.34514152261375497,0.6161369573447273,1.1029009714046503,0.6598293720784852,1.0014610905599333,0.6317099353231032,0.5198529214814807,0.6635600104757928
Reflation,0.40247755483061376,1.6964918243970228,1.1084290181563805,0.6962762788964625,0.9017724455222677,0.42061812597780635,0.6332186936604789,0.415658720886672,0.7690617556583504,0.8425746345829392
Stagflation,0.9504374970438809,1.0083902983666082,0.6067237531908185,0.8396997005869954,0.525547545516521,0.6078605469681057,0.25952571189190204,0.8693999189375023,1.129916901805016,0.6354645926567511
